Country,TotalCases,TotalDeaths,Recovered,Active,Population,Continent
Morocco,1276812,16297,64,0,37457976,Africa
Mozambique,233652,2249,682,17,32969520,Africa
Myanmar,641280,19494,890,17,54179312,Asia
Namibia,171998,4098,324737,9189,2567024,Africa
Nauru,5393,1,13198,1732,12691,Oceania
Nepal,1003441,12031,0,33923,30547586,Asia
Netherlands,8618815,22986,144,4,17564020,Europe
New Caledonia,80064,314,1725,503,289959,Oceania
New Zealand,2385438,3347,57698,141,5185289,Oceania
Nicaragua,16043,245,5553,13183,6948395,North America
Niger,9515,315,5024,3061,26207982,Africa
Nigeria,286572,3155,3079,669,218541216,Africa
Niue,887,,622153,51070,1952,Oceania
North Korea,,,1290,1417,26069416,Asia
North Macedonia,349104,9946,150376,677807,2093606,Europe
Northern Mariana Islands,14285,41,3306,1309,49574,Oceania
Norway,1489076,5705,6764,6070,5434324,Europe
Oman,399449,4628,4830,98,4576300,Asia
Pakistan,1580631,30656,0,92557,235824864,Asia
Palau,6241,9,48400,9880,18084,Oceania
Palestine,703228,5708,1271,3181,5250076,Asia
Panama,1047555,8654,488,32,4408582,North America
Papua New Guinea,46864,670,9006,1095,10142625,Oceania
Paraguay,735853,19971,183,305,6780745,South America
Peru,4520727,221704,3451,126,34049588,South America
Philippines,4113434,66696,1444,442,115559008,Asia
Pitcairn,4,,3221,1732,47,Oceania
Poland,6523335,119654,5032,25771,39857144,Europe
Portugal,5621015,27424,293145,32108,10270857,Europe
Puerto Rico,1252713,5938,6022,3586,3252412,North America
Qatar,514524,690,116861,141234,2695131,Asia
Reunion,494595,921,95973,8717,974062,Africa
Romania,3455207,68341,2495,548220,19659270,Europe
Russia,23029404,400047,1930,288,144713312,Europe
Rwanda,133194,1468,3062983,4440579,13776702,Africa
Saint Barthelemy,5507,5,57704,2570,10994,North America
Saint Helena,2166,,73919,7843,5401,Africa
Saint Kitts and Nevis,6607,46,1024,48,47681,North America
Saint Lucia,30082,410,37240,6327,179872,North America
Saint Martin (French part),12324,46,8,1,31816,North America
Saint Pierre and Miquelon,3426,2,1329,127,5885,North America
Saint Vincent and the Grenadines,9644,124,14541,537,103959,North America
Samoa,16778,31,6492,1288,222390,Oceania
San Marino,24644,126,6582,5364,33690,Europe
Sao Tome and Principe,6597,80,33064,5166,227393,Africa
Saudi Arabia,841469,9646,9406,5409,36408824,Asia
Senegal,89022,1971,37170,13975,17316452,Africa
Serbia,2552178,18057,1814,827,6871547,Europe
Seychelles,50937,172,2716,3312,107135,Africa
Sierra Leone,7766,125,97,11,8605723,Africa
Singapore,2594809,1872,709464,150837,5637022,Asia
Sint Maarten (Dutch part),11051,92,45771,8949,44192,North America
Slovakia,1867525,21167,24987,1378,5643455,Europe
Slovenia,1345384,9448,42829,10742,2119843,Europe
Solomon Islands,21611,153,39235,1909,724272,Oceania
Somalia,27334,1361,2815,2102,17597508,Africa
South Africa,4072533,102595,70808,4206,59893884,Africa
South Korea,34571873,35934,291365,80208,51815808,Asia
South Sudan,18368,138,183,16,10913172,Africa
Spain,13980340,121852,76543,5043,47558632,Europe
Sri Lanka,672589,16882,20202,126554,21832150,Asia
Sudan,63993,5046,1487,905,46874200,Africa
Suriname,82588,1408,1973,397,618046,South America
Sweden,2717141,24834,287,19,10549349,Europe
Switzerland,4413452,14055,100786,29385,8740471,Europe
Syria,57423,3163,23370,6048,22125242,Asia
Tajikistan,17786,125,834,2367,9952789,Asia
Tanzania,43078,846,4502854,403395,65497752,Africa
Thailand,4757473,34474,143,0,71697024,Asia
Timor,23460,138,15818,7610,1341298,Asia
Togo,39522,290,1542,668,8848700,Africa
Tokelau,80,,7050,18416,1893,Oceania
Tonga,16825,12,472,44,106867,Oceania
Trinidad and Tobago,191496,4390,5970,869,1531043,North America
Tunisia,1153361,29423,277,6,12356116,Africa
Turkey,17004677,101419,20117,663,85341248,Asia
Turks and Caicos Islands,6630,39,153857,19249,45726,North America
Tuvalu,2943,1,1924,2868,11335,Oceania
Uganda,171843,3632,1103,96,47249588,Africa
Ukraine,5520483,109918,452054,14269,39701744,Europe
United Arab Emirates,1067030,2349,85658,381,9441138,Asia
United Kingdom,24743787,229765,783131,91956,67508936,Europe
United States,103436829,1127152,475,13,338289856,North America
United States Virgin Islands,25389,132,10242,323,99479,North America
Uruguay,1039238,7634,52669,33694,3422796,South America
Uzbekistan,174123,1016,16953,2662,34627648,Asia
Vanuatu,12019,14,5440,385,326744,Oceania
Vatican,26,,1444,517,808,Europe
Venezuela,552695,5856,54909,58148,28301700,South America
Vietnam,11623698,43206,26462,5446,98186856,Asia
Wallis and Futuna,3550,8,5355,7,11596,Oceania
Yemen,11945,2159,24,8,33696612,Asia
Zambia,349287,4069,93627,22220,20017670,Africa
Zimbabwe,265753,5718,120511,14129,16320539,Africa
